,BA_per,A_HR_per,HBP_per,HRH_per,ISO_per,SLG_per,OBP_per,XBH_diff,TB_per,TOB_per,OPS_per,IP_per,FIP_per,BB9_per,K9_per,GBF_per,ERA_per,DICE_per,HR9_per,WHIP_per,KBB_per,home_team_wins
3040,-10.121,-27.002,27.596,28.5,-2.938,-7.626,-7.894,-19.912,-13.622,-15.064,-7.745,1.845,-10.872,12.485,9.45,0.185,3.409,-5.622,0.498,8.021,35.261,1
3041,0.743,-11.201,-81.471,9.4,16.215,6.873,-1.751,20.669,9.753,0.437,3.216,2.486,64.439,31.739,-27.421,-0.254,18.116,26.306,20.505,29.307,36.378,0
3042,13.223,16.191,-24.99,-37.509,-10.929,5.937,5.518,-1.81,10.262,7.965,5.748,-0.963,20.85,-0.335,-1.798,0.262,19.95,19.135,16.542,3.477,55.877,0
3043,-0.998,-45.214,8.581,31.817,25.63,10.685,2.659,18.845,10.218,3.604,7.371,7.309,-163.099,-52.86,6.641,0.076,-7.455,-29.21,-50.192,-51.698,63.916,1
3044,1.155,52.258,-3.216,-111.909,-34.562,-9.805,-0.84,-10.762,-11.826,-3.099,-5.691,4.459,-76.968,17.412,5.779,-0.338,-24.259,-8.792,-48.91,5.561,40.826,1
3045,7.321,-35.85,5.566,20.573,13.311,9.822,1.801,8.626,11.771,2.424,6.474,-0.921,1.986,-15.59,-0.154,0.253,-35.102,-1.751,7.965,-8.056,39.785,0
3046,10.889,-70.891,-54.157,34.33,30.808,18.481,9.58,24.658,18.3,10.564,14.612,6.677,-63.654,-12.761,14.042,0.049,-30.829,-16.137,-8.109,-11.852,49.823,1
3047,5.135,-33.158,-40.899,20.835,9.548,6.711,0.884,4.58,10.922,4.528,4.137,4.309,-8.447,1.395,9.236,-0.404,4.536,-0.741,0.87,1.816,47.687,1
3048,14.579,-0.586,-24.99,-16.392,7.141,11.766,11.215,13.652,12.983,13.027,11.527,6.094,-85.778,-11.373,1.321,-0.264,-45.434,-22.647,-30.17,-16.704,41.489,1
3049,-7.728,30.733,-61.895,-34.009,-30.116,-15.271,-10.977,-26.638,-16.947,-15.974,-13.357,7.958,-194.741,-19.498,8.753,0.04,-54.863,-19.072,-24.071,-20.906,44.231,1
3050,4.349,57.207,-43.323,-144.315,-49.28,-12.296,-0.968,-22.944,-14.903,-5.258,-7.121,1.155,-81.508,4.318,1.639,-0.191,-41.14,-6.03,-42.06,-4.837,44.461,1
3051,0.635,-53.451,33.972,34.416,25.722,10.822,6.346,18.125,8.35,6.551,8.908,-1.095,-21.245,-37.268,-11.482,0.06,-36.032,-3.59,-1.883,-27.258,50.0,1
3052,-8.58,-25.201,38.72,26.442,-2.918,-6.631,-6.786,-20.444,-13.956,-15.171,-6.7,0.564,-10.383,12.069,9.234,0.131,16.363,-5.394,1.805,7.823,35.649,0
3053,-5.577,28.026,-48.475,-31.597,-10.096,-7.126,-5.324,-3.629,-11.362,-9.371,-6.31,2.278,-3.17,-8.774,-5.432,0.008,-6.539,-4.015,-1.145,-7.033,36.646,1
3054,13.225,13.382,-9.99,-33.052,-9.195,6.462,5.613,-2.304,10.264,7.584,6.08,-1.559,16.855,-0.412,-3.258,0.251,-4.632,17.686,12.756,2.304,55.098,0
3055,-3.212,12.284,-64.99,-10.455,2.552,-0.968,-0.148,8.394,-2.261,-0.475,-0.608,4.096,-129.025,-26.97,6.861,0.048,32.913,-25.136,-20.346,-24.603,40.796,1
3056,3.446,-91.798,-11.755,46.0,35.535,16.858,4.365,24.653,16.081,4.317,11.525,5.949,-44.709,-15.344,-2.478,0.261,18.662,-10.254,-19.771,-16.791,50.089,0
